,Date,compound,neg,neu,pos,Open,High,Low,Close,Volume
2560,2017-05-05,0.9977,0.07200000000000001,0.8320000000000001,0.096,9374.55,9377.1,9272.0,9285.3,239133531
2561,2017-05-08,0.9996,0.07400000000000001,0.804,0.122,9311.45,9338.7,9297.95,9314.05,179709949
2562,2017-05-09,0.9998,0.06,0.8240000000000001,0.11599999999999999,9337.35,9338.95,9307.7,9316.85,136417428
2563,2017-05-10,0.9997,0.052000000000000005,0.845,0.10300000000000001,9339.65,9414.75,9336.0,9407.3,157363135
2564,2017-05-11,0.9989,0.062,0.843,0.096,9448.6,9450.65,9411.3,9422.4,176439840
2565,2017-05-12,0.9996,0.057999999999999996,0.8340000000000001,0.10800000000000001,9436.65,9437.75,9372.55,9400.9,159079418
2566,2017-05-15,0.9998,0.059000000000000004,0.825,0.115,9433.55,9449.25,9423.1,9445.4,145163953
2567,2017-05-16,0.9991,0.078,0.815,0.107,9461.0,9517.2,9456.35,9512.25,171709433
2568,2017-05-17,0.9998,0.067,0.805,0.128,9517.6,9532.6,9486.1,9525.75,211856040
2569,2017-05-18,0.998,0.073,0.83,0.096,9453.2,9489.1,9418.1,9429.45,199340647
2570,2017-05-19,0.9996,0.068,0.8059999999999999,0.126,9469.9,9505.75,9390.75,9427.9,259861396
2571,2017-05-22,0.9994,0.076,0.812,0.11199999999999999,9480.25,9498.65,9427.9,9438.25,202874757
2572,2017-05-23,0.9965,0.092,0.7979999999999999,0.11,9445.05,9448.05,9370.0,9386.15,231345629
2573,2017-05-24,0.9941,0.09300000000000001,0.799,0.107,9410.9,9431.9,9341.65,9360.55,218265181
2574,2017-05-25,0.9995,0.066,0.82,0.114,9384.05,9523.3,9379.2,9509.75,298147347
2575,2017-05-26,0.9998,0.071,0.785,0.14400000000000002,9507.75,9604.9,9495.4,9595.1,225647631
2576,2017-05-29,0.9985,0.08199999999999999,0.807,0.111,9560.05,9637.75,9547.7,9604.9,242266034
2577,2017-05-30,0.9985,0.084,0.807,0.10800000000000001,9590.65,9635.3,9581.2,9624.55,199894193
2578,2017-05-31,0.9986,0.079,0.812,0.109,9636.55,9649.6,9609.25,9621.25,427053433
2579,2017-06-01,0.9994,0.07400000000000001,0.807,0.11900000000000001,9603.55,9634.65,9589.9,9616.1,181533283
2580,2017-06-02,0.9972,0.094,0.79,0.11599999999999999,9657.15,9673.5,9637.45,9653.5,167195027
